rollno,name,fname,course,city,dob,s1,s2,s3,s4,s5
160,Hamza,Hamza,ML,,1992-08-26,10,56,98,92,45
161,Asif,Hamza,AI,LHR,2008-07-07,49,6,44,63,97
162,Asif,Ali,AI,ISL,1969-01-17,89,66,53,43,52
163,Ali,Ali,Blockchain,,1964-07-06,67,26,13,57,87
164,Ali,Junaid,AI,KHI,2002-05-14,96,97,78,33,34
165,Asif,Asif,Blockchain,KHI,2010-01-07,92,72,45,66,68
166,Ali,Asif,Blockchain,LHR,1971-10-12,67,89,96,72,85
167,Ali,Asif,DS,LHR,1997-11-10,73,80,59,64,28
168,Asif,Junaid,AI,,1963-11-11,39,65,21,97,96
169,Junaid,Ali,Blockchain,ISL,1988-04-11,52,52,46,5,79
170,Hamza,Hamza,AI,LHR,1955-11-03,92,49,34,30,27
171,Ali,Junaid,ML,KHI,1993-02-27,33,27,26,20,50
172,Junaid,Asif,DS,,1995-10-12,77,56,98,60,70
173,Ali,Junaid,DS,KHI,1968-08-20,90,14,36,9,57
174,Ali,Ali,DS,,1990-07-12,74,27,48,14,18
175,Asif,Ali,DS,ISL,2014-07-13,28,23,29,97,58
176,Junaid,Junaid,AI,,2012-01-27,98,41,63,73,63
177,Ali,Ali,DS,LHR,1967-02-06,17,75,67,42,67
178,Junaid,Junaid,Blockchain,ISL,1963-09-05,66,10,3,69,88
179,Junaid,Hamza,DS,ISL,1973-08-19,44,31,42,90,30
180,Ali,Hamza,DS,LHR,1976-01-01,27,36,1,12,80
181,Junaid,Asif,DS,,1982-04-15,73,91,67,64,7
182,Junaid,Hamza,DS,KHI,2004-08-28,28,17,49,54,68
183,Asif,Hamza,Blockchain,,1969-05-17,41,33,60,77,9
184,Junaid,Hamza,DS,LHR,1996-04-19,84,49,91,29,53
185,Ali,Hamza,AI,LHR,2009-06-30,14,59,91,92,16
186,Hamza,Junaid,ML,ISL,1990-06-24,32,42,38,54,98
187,Asif,Ali,ML,,1951-02-16,46,34,56,73,63
188,Junaid,Junaid,Blockchain,,1964-04-26,78,36,38,97,24
189,Junaid,Hamza,Blockchain,LHR,1968-05-18,40,54,93,63,74
190,Hamza,Asif,AI,KHI,2005-08-17,32,56,37,38,42
191,Junaid,Junaid,ML,ISL,2001-04-16,46,72,56,47,86
192,Asif,Hamza,DS,,1954-07-17,26,9,24,6,91
193,Ali,Asif,Blockchain,LHR,1995-03-09,48,57,96,81,82
194,Junaid,Asif,AI,,2004-02-16,55,40,39,79,85
195,Asif,Ali,ML,LHR,2009-02-02,24,97,62,2,7
196,Hamza,Hamza,DS,ISL,1978-05-04,97,25,70,40,39
197,Hamza,Junaid,ML,LHR,1980-04-03,72,82,13,82,49
198,Junaid,Ali,AI,,1975-02-27,14,3,16,75,43
199,Hamza,Asif,DS,LHR,1993-08-16,81,75,30,46,48
200,Junaid,Junaid,DS,KHI,1966-01-10,33,88,83,40,59
201,Ali,Junaid,AI,KHI,1960-05-06,43,63,24,98,55
202,Ali,Asif,AI,ISL,2014-07-19,69,62,61,57,62
203,Junaid,Ali,DS,ISL,1961-07-19,23,10,80,84,1
204,Ali,Hamza,Blockchain,,1962-04-07,95,99,48,94,20
205,Ali,Hamza,AI,,1996-09-09,90,87,50,40,50
206,Ali,Junaid,Blockchain,LHR,2000-06-09,84,20,27,41,23
207,Asif,Hamza,ML,ISL,1994-10-18,92,27,44,72,24
208,Junaid,Hamza,DS,KHI,1956-04-30,53,13,43,91,54
209,Junaid,Junaid,ML,LHR,1977-04-25,79,8,84,98,3
210,Junaid,Junaid,ML,,1990-11-16,40,45,13,25,39
211,Junaid,Asif,AI,ISL,2001-04-16,27,65,87,75,94
212,Asif,Hamza,Blockchain,KHI,1999-06-28,10,34,50,74,1
213,Junaid,Ali,DS,,1961-09-26,61,39,39,91,30
214,Ali,Asif,DS,KHI,1976-05-27,13,33,43,63,56
215,Junaid,Hamza,Blockchain,,2004-02-25,12,68,75,91,32
216,Ali,Asif,ML,,1994-03-07,59,56,14,42,45
217,Asif,Junaid,Blockchain,,1986-01-27,43,69,14,16,48
218,Hamza,Asif,ML,ISL,2011-03-20,72,87,71,10,69
219,Junaid,Asif,AI,LHR,1974-03-25,87,13,17,77,59
220,Hamza,Ali,AI,ISL,1962-03-27,66,23,63,81,69
221,Junaid,Junaid,Blockchain,LHR,1951-08-26,87,46,91,80,51
222,Junaid,Ali,ML,ISL,1959-06-06,44,41,58,64,18
223,Asif,Ali,Blockchain,KHI,1970-07-07,95,86,45,56,17
224,Ali,Ali,ML,ISL,2001-05-02,83,96,98,74,43
225,Asif,Hamza,AI,ISL,1953-05-18,10,37,24,86,55
226,Ali,Ali,Blockchain,ISL,1956-08-24,51,82,51,70,47
227,Ali,Asif,AI,,2011-05-23,94,31,94,63,6
228,Asif,Asif,AI,,1995-09-13,48,31,62,63,38
229,Hamza,Asif,Blockchain,KHI,1952-08-13,31,67,53,80,50
230,Asif,Hamza,Blockchain,,1957-08-20,33,57,31,18,55
231,Junaid,Ali,DS,ISL,1994-06-04,94,27,84,28,55
232,Ali,Asif,DS,,2009-01-16,80,50,80,54,16
233,Ali,Junaid,Blockchain,KHI,2006-02-18,52,34,5,39,68
234,Ali,Junaid,ML,LHR,1991-04-01,52,24,68,59,26
235,Junaid,Junaid,DS,LHR,1962-04-27,56,98,67,97,55
236,Ali,Ali,ML,,2010-09-08,85,44,73,52,65
237,Junaid,Ali,DS,LHR,1985-11-17,90,39,80,34,75
238,Ali,Asif,ML,,1965-10-30,65,35,10,35,24
239,Junaid,Asif,DS,LHR,1987-03-02,14,50,82,47,42
240,Junaid,Ali,Blockchain,ISL,1971-07-02,40,8,18,44,88
241,Ali,Junaid,AI,LHR,1956-09-06,49,79,83,43,32
242,Asif,Asif,DS,KHI,1993-10-27,13,15,60,62,93
243,Ali,Asif,ML,LHR,1994-08-24,81,17,5,52,56
244,Hamza,Asif,ML,,2013-01-26,83,58,6,93,85
245,Asif,Junaid,DS,,2001-06-02,45,59,68,38,32
246,Junaid,Hamza,Blockchain,KHI,1987-10-28,84,27,10,28,83
247,Junaid,Ali,Blockchain,LHR,1995-02-04,61,67,92,79,72
248,Ali,Ali,Blockchain,LHR,1965-04-09,42,98,40,38,78
249,Junaid,Ali,ML,,1957-04-12,17,75,56,70,61
250,Ali,Hamza,AI,ISL,1992-05-22,52,53,35,9,75
251,Hamza,Hamza,ML,,1961-05-01,43,21,6,54,38
252,Junaid,Hamza,DS,ISL,1976-03-28,18,68,6,24,55
253,Asif,Junaid,DS,ISL,2011-01-21,20,82,42,90,78
254,Ali,Hamza,Blockchain,KHI,1956-07-30,76,45,45,97,48
255,Hamza,Asif,ML,ISL,1952-10-27,68,77,2,59,16
256,Ali,Asif,AI,KHI,1964-08-23,86,54,94,3,8
257,Hamza,Junaid,ML,,1960-09-20,90,70,26,63,89
258,Asif,Asif,AI,LHR,1990-11-12,8,41,51,12,16
259,Asif,Hamza,DS,LHR,1992-05-26,29,91,41,65,98
260,Hamza,Hamza,DS,KHI,2013-07-08,65,42,36,70,6
261,Ali,Hamza,AI,,1965-01-23,90,4,33,58,52
262,Asif,Junaid,AI,LHR,1982-11-25,96,56,90,58,94
263,Asif,Ali,AI,ISL,1993-08-07,85,94,9,48,91
264,Ali,Hamza,DS,KHI,1963-01-22,98,66,98,61,57
265,Asif,Junaid,DS,ISL,1975-04-04,56,25,7,65,15
266,Ali,Junaid,ML,LHR,1997-02-24,21,45,65,18,7
267,Asif,Junaid,ML,KHI,1976-01-17,28,61,75,54,48
268,Asif,Hamza,ML,KHI,1961-03-07,56,80,86,42,50
269,Ali,Hamza,AI,,2013-08-05,68,39,82,89,50
270,Asif,Asif,AI,,1982-07-04,52,1,79,29,89
271,Hamza,Asif,DS,LHR,1991-11-16,77,90,29,38,92
272,Hamza,Hamza,AI,KHI,1977-11-03,31,34,91,89,53
273,Ali,Asif,Blockchain,ISL,2002-03-26,8,67,88,68,55
274,Junaid,Asif,ML,KHI,1990-08-07,50,6,52,51,75
275,Asif,Junaid,DS,ISL,2004-05-19,95,20,99,67,22
276,Hamza,Hamza,AI,KHI,1990-04-15,35,49,9,2,57
277,Asif,Ali,Blockchain,LHR,1995-02-03,37,28,53,90,39
278,Ali,Asif,DS,ISL,1973-10-26,89,47,46,46,48
279,Hamza,Ali,ML,,1996-01-11,25,1,90,99,32
280,Asif,Junaid,DS,ISL,1984-03-18,14,76,83,13,54
281,Hamza,Junaid,ML,KHI,2004-11-17,98,4,10,68,44
282,Hamza,Asif,DS,LHR,2001-08-17,45,49,43,17,4
283,Asif,Junaid,AI,,1973-11-10,27,96,32,15,46
284,Asif,Asif,Blockchain,,1967-03-11,70,37,77,8,5
285,Asif,Ali,AI,ISL,2000-03-07,86,80,39,60,32
286,Junaid,Ali,AI,,1987-09-12,92,68,35,22,5
287,Hamza,Junaid,Blockchain,ISL,1950-04-16,11,4,26,1,80
288,Ali,Asif,ML,,2010-02-02,43,91,16,53,4
289,Junaid,Hamza,DS,KHI,1998-05-30,6,14,10,87,48
290,Ali,Junaid,ML,,1966-03-17,26,32,32,3,30
291,Junaid,Asif,Blockchain,,2010-09-28,99,51,48,3,15
292,Ali,Asif,Blockchain,,1952-11-02,46,76,52,20,58
293,Junaid,Hamza,DS,LHR,1991-04-30,2,32,23,81,48
294,Hamza,Ali,DS,,2010-02-12,95,36,42,69,57
295,Asif,Hamza,AI,,1978-08-05,29,99,45,6,44
296,Ali,Junaid,AI,ISL,2014-06-21,44,79,13,71,73
297,Ali,Hamza,DS,LHR,1987-09-08,6,68,45,29,75
298,Ali,Hamza,ML,KHI,1982-05-16,10,1,31,25,47
299,Hamza,Asif,ML,,1991-10-28,94,19,11,44,62
300,Asif,Hamza,DS,KHI,2013-07-18,61,75,15,32,42
301,Ali,Asif,ML,KHI,1991-07-27,38,70,84,63,40
302,Hamza,Junaid,DS,ISL,1963-01-25,19,59,78,63,4
303,Asif,Ali,DS,KHI,1985-09-07,50,87,88,99,73
304,Junaid,Asif,Blockchain,KHI,2007-01-16,54,7,22,12,18
305,Asif,Asif,AI,ISL,2009-11-12,35,98,21,52,69
306,Junaid,Asif,ML,LHR,1959-09-06,43,45,29,93,74
307,Ali,Asif,AI,ISL,1988-02-01,97,97,5,82,92
308,Asif,Ali,Blockchain,,1972-08-18,47,96,65,92,36
309,Junaid,Ali,AI,LHR,2012-06-04,35,62,44,88,12
310,Ali,Hamza,ML,,1965-08-08,26,34,5,78,79
311,Ali,Hamza,ML,KHI,1999-06-07,8,79,31,24,17
312,Junaid,Hamza,AI,KHI,1963-07-25,13,11,91,18,39
313,Ali,Junaid,DS,,1992-04-29,15,10,99,33,68
314,Junaid,Asif,AI,,2001-06-30,30,39,38,75,68
315,Hamza,Junaid,AI,LHR,1987-05-07,70,84,98,56,53
316,Hamza,Junaid,ML,ISL,1956-10-30,31,46,82,74,6
317,Asif,Asif,Blockchain,KHI,1990-08-04,12,21,31,56,35
318,Ali,Hamza,AI,LHR,2012-09-27,99,53,14,43,44
319,Asif,Junaid,AI,LHR,1963-05-27,26,46,51,87,35
320,Asif,Hamza,DS,,1981-03-17,67,78,53,99,47
321,Ali,Ali,AI,LHR,1993-06-24,23,95,20,98,47
322,Junaid,Asif,Blockchain,LHR,1992-03-09,74,40,85,71,30
323,Asif,Asif,Blockchain,ISL,1982-01-23,55,33,10,39,44
324,Hamza,Junaid,AI,LHR,1978-01-04,26,93,95,76,34
325,Hamza,Hamza,DS,LHR,1982-07-07,42,64,79,94,38
326,Hamza,Asif,ML,LHR,1957-07-08,65,79,35,70,50
327,Asif,Hamza,AI,KHI,1950-08-13,68,71,67,63,37
328,Asif,Junaid,DS,LHR,1990-10-26,11,41,68,27,37
329,Ali,Hamza,AI,,1968-07-10,45,96,77,21,65
330,Asif,Junaid,DS,LHR,1965-10-23,6,15,25,9,52
331,Asif,Asif,Blockchain,KHI,1998-01-13,68,85,44,28,2
332,Asif,Junaid,AI,LHR,2005-05-27,21,85,33,59,63
333,Hamza,Hamza,Blockchain,,2006-07-21,50,58,27,78,27
334,Hamza,Hamza,Blockchain,ISL,1969-02-09,19,34,67,11,71
335,Hamza,Hamza,ML,KHI,1951-06-29,74,87,49,23,2
336,Asif,Hamza,DS,,1981-10-09,89,88,79,30,84
337,Junaid,Hamza,DS,ISL,1997-08-18,10,69,63,23,90
338,Asif,Asif,ML,,1979-11-01,80,66,71,27,57
339,Hamza,Junaid,DS,LHR,1965-01-25,48,48,39,74,31
340,Asif,Ali,ML,,1969-01-03,83,99,27,40,22
341,Asif,Junaid,AI,KHI,1970-01-09,79,20,87,84,92
342,Ali,Asif,ML,LHR,1972-07-02,78,87,52,33,85
343,Hamza,Asif,DS,,1992-09-22,95,60,12,24,75
344,Asif,Asif,ML,LHR,1999-02-03,40,48,73,34,40
345,Ali,Junaid,AI,,2001-03-07,85,43,34,80,28
346,Asif,Ali,AI,KHI,1992-03-27,94,59,48,92,92
347,Asif,Hamza,Blockchain,ISL,1971-05-20,96,45,55,30,15
348,Junaid,Hamza,Blockchain,KHI,1954-11-24,86,34,82,90,78
349,Junaid,Junaid,DS,,1993-05-20,71,59,23,66,58
350,Hamza,Ali,DS,ISL,1950-02-23,96,88,23,43,21
351,Hamza,Hamza,ML,KHI,1951-07-19,67,7,77,39,27
352,Ali,Asif,AI,KHI,1979-07-16,61,68,7,95,8
353,Junaid,Junaid,ML,LHR,1977-06-05,93,15,11,72,31
354,Junaid,Junaid,AI,LHR,1994-03-28,11,26,73,86,14
355,Ali,Ali,AI,ISL,1958-03-11,12,62,71,86,64
356,Ali,Junaid,Blockchain,KHI,1967-11-21,23,45,54,31,91
357,Junaid,Hamza,Blockchain,ISL,1999-06-22,68,44,70,18,30
358,Junaid,Hamza,Blockchain,ISL,2013-06-11,6,34,29,23,69
359,Asif,Hamza,ML,ISL,1986-01-15,7,79,30,13,70
360,Ali,Asif,Blockchain,KHI,1959-06-12,44,45,73,33,36
361,Ali,Asif,ML,ISL,2005-04-11,7,56,80,50,86
362,Asif,Asif,AI,ISL,1991-09-20,73,47,64,1,45
363,Junaid,Ali,ML,KHI,1960-11-16,21,63,17,22,90
364,Ali,Asif,AI,KHI,2005-10-05,84,53,69,35,6
365,Asif,Ali,ML,LHR,1998-11-06,78,10,78,39,96
366,Junaid,Ali,DS,,1965-09-13,19,61,90,80,83
367,Ali,Ali,Blockchain,LHR,1969-05-09,58,58,58,11,68
368,Asif,Junaid,ML,ISL,2002-04-04,76,19,47,2,21
369,Asif,Asif,ML,LHR,1981-11-30,55,97,8,26,5
370,Junaid,Asif,DS,LHR,1975-02-09,45,28,89,75,86
371,Ali,Ali,Blockchain,KHI,1971-06-22,50,71,73,34,59
372,Junaid,Junaid,Blockchain,KHI,1960-04-02,32,95,80,33,31
373,Hamza,Hamza,ML,ISL,1965-03-10,19,39,49,97,31
374,Junaid,Asif,ML,ISL,1968-09-19,65,46,96,28,13
375,Hamza,Hamza,Blockchain,KHI,1957-11-10,2,2,93,56,43
376,Asif,Junaid,Blockchain,KHI,1970-07-09,50,11,7,84,35
377,Ali,Hamza,ML,ISL,1960-02-09,41,13,74,7,85
378,Asif,Ali,Blockchain,LHR,1998-09-21,15,28,64,7,22
379,Junaid,Ali,DS,,1976-01-03,96,71,56,45,86
380,Asif,Junaid,DS,LHR,1954-04-30,63,53,30,92,42
381,Ali,Ali,ML,ISL,1990-07-12,58,67,33,5,7
382,Asif,Ali,AI,LHR,1971-04-05,70,41,98,30,66
383,Ali,Hamza,Blockchain,KHI,1991-05-26,12,38,90,8,75
384,Junaid,Ali,AI,LHR,1995-05-15,40,8,17,17,70
385,Hamza,Ali,Blockchain,LHR,1952-09-08,89,19,25,16,78
386,Hamza,Asif,Blockchain,KHI,2012-11-14,15,71,83,59,28
387,Ali,Ali,Blockchain,ISL,1977-08-18,40,72,54,87,92
388,Ali,Junaid,ML,ISL,2004-06-27,90,88,88,26,45
389,Hamza,Junaid,DS,,1982-06-19,18,90,17,57,12
390,Ali,Asif,Blockchain,LHR,2014-07-08,14,17,24,98,65
391,Ali,Ali,DS,,1967-08-08,86,28,51,8,5
392,Asif,Asif,DS,LHR,2004-03-03,41,77,83,30,43
393,Junaid,Asif,ML,KHI,2011-10-01,54,72,88,66,36
394,Hamza,Asif,Blockchain,LHR,1989-07-21,84,4,10,38,10
395,Asif,Hamza,Blockchain,ISL,1955-09-20,79,83,61,13,16
396,Hamza,Hamza,Blockchain,KHI,1954-02-19,9,65,26,65,37
397,Junaid,Junaid,DS,ISL,1950-05-07,68,57,89,96,55
